seg	chunk	words	dur_a	dur_b	lead_a	lead_b	trail_a	trail_b	speech_a	speech_b	gaps_a	gaps_b	gap_secs_a	gap_secs_b	rms_a	rms_b	text
0	0	2	1.5701	1.5699	0.0500	0.0500	0.1901	0.1799	1.3300	1.3400	0	0	0	0	0.0542	0.0542	Marley’S Ghost.
1	0	58	17.1522	17.1919	0.0500	0.0500	0.5022	0.5019	16.6000	16.6400	3	3	1.0600	1.0400	0.0425	0.0424	Marley was dead: to begin with. There is no doubt whatever a
2	0	79	22.0456	22.0340	0.0500	0.0500	0.4656	0.4640	21.5300	21.5200	7	6	1.7400	1.5300	0.0414	0.0414	Mind! I don’t mean to say that I know, of my own knowledge, 
3	0	83	23.4507	23.4511	0.0500	0.0500	0.3907	0.3911	23.0100	23.0100	8	8	2.1900	2.1900	0.0398	0.0398	Scrooge knew he was dead? Of course he did. How could it be 
4	0	104	29.5798	29.5792	0.1000	0.1000	0.3797	0.3792	29.1000	29.1000	11	11	2.8500	2.6700	0.0400	0.0400	The mention of Marley’s funeral brings me back to the point 
5	0	52	16.3069	16.3088	0.0500	0.0500	0.2269	0.2288	16.0300	16.0300	6	6	1.6800	1.6700	0.0406	0.0406	Scrooge never painted out Old Marley’s name. There it stood,
6	0	117	37.7706	37.9051	0.0500	0.0800	0.2506	0.2451	37.4700	37.5800	15	12	4.4900	3.8300	0.0405	0.0404	Oh! But he was a tight-fisted hand at the grindstone, Scroog
7	0	79	24.4915	24.4866	0.0500	0.0500	0.7715	0.7666	23.6700	23.6700	10	11	2.3000	2.5000	0.0410	0.0410	External heat and cold had little influence on Scrooge. No w
8	0	109	27.7294	27.7360	0.0800	0.0800	0.7794	0.7760	26.8700	26.8800	10	10	2.3800	2.5900	0.0400	0.0400	Nobody ever stopped him in the street to say, with gladsome 
9	0	39	11.1604	11.1024	0.0800	0.0800	0.7504	0.6924	10.3300	10.3300	5	5	1.4100	1.2700	0.0406	0.0407	But what did Scrooge care! It was the very thing he liked. T
