seg	chunk	words	dur_a	dur_b	lead_a	lead_b	trail_a	trail_b	speech_a	speech_b	gaps_a	gaps_b	gap_secs_a	gap_secs_b	rms_a	rms_b	text
0	0	2	1.5694	1.5702	0.0500	0.0500	0.2194	0.1802	1.3000	1.3400	0	0	0	0	0.0541	0.0541	Marley’S Ghost.
1	0	58	17.1911	17.1918	0.0500	0.0500	0.5011	0.4918	16.6400	16.6500	4	3	1.4500	1.1400	0.0424	0.0424	Marley was dead: to begin with. There is no doubt whatever a
2	0	79	22.2613	21.9077	0.0500	0.0500	0.5012	0.3577	21.7100	21.5000	7	6	2.1000	1.5200	0.0412	0.0415	Mind! I don’t mean to say that I know, of my own knowledge, 
3	0	83	23.4510	23.4507	0.0500	0.0500	0.3910	0.3907	23.0100	23.0100	8	8	2.1900	2.2000	0.0398	0.0398	Scrooge knew he was dead? Of course he did. How could it be 
4	0	104	29.5781	29.5792	0.1000	0.1000	0.3781	0.3792	29.1000	29.1000	11	11	2.8000	2.7800	0.0400	0.0400	The mention of Marley’s funeral brings me back to the point 
5	0	52	16.2787	16.3068	0.0500	0.0500	0.2287	0.2268	16.0000	16.0300	6	6	1.7000	1.6800	0.0406	0.0406	Scrooge never painted out Old Marley’s name. There it stood,
6	0	117	37.9249	37.8033	0.0500	0.0800	0.2449	0.2433	37.6300	37.4800	12	15	3.8800	4.1100	0.0404	0.0405	Oh! But he was a tight-fisted hand at the grindstone, Scroog
7	0	79	24.4905	24.4834	0.0500	0.0500	0.7705	0.7734	23.6700	23.6600	11	11	2.4900	2.4400	0.0410	0.0410	External heat and cold had little influence on Scrooge. No w
8	0	109	27.6990	27.6997	0.0800	0.0800	0.7790	0.3597	26.8400	27.2600	9	12	2.3000	3.0600	0.0401	0.0400	Nobody ever stopped him in the street to say, with gladsome 
9	0	39	11.1599	11.1577	0.0800	0.0800	0.7199	0.7177	10.3600	10.3600	5	5	1.2700	1.4000	0.0405	0.0406	But what did Scrooge care! It was the very thing he liked. T
