seg	chunk	words	dur_a	dur_b	lead_a	lead_b	trail_a	trail_b	speech_a	speech_b	gaps_a	gaps_b	gap_secs_a	gap_secs_b	rms_a	rms_b	text
0	0	2	1.5703	1.5701	0.0500	0.0500	0.1803	0.2101	1.3400	1.3100	0	0	0	0	0.0542	0.0542	Marley’S Ghost.
1	0	58	17.2474	17.2902	0.0500	0.0500	0.5874	0.6002	16.6100	16.6400	4	3	1.1600	1.1200	0.0424	0.0423	Marley was dead: to begin with. There is no doubt whatever a
2	0	79	21.8974	22.1558	0.0500	0.0500	0.3574	0.3558	21.4900	21.7500	7	6	1.7600	1.7400	0.0415	0.0413	Mind! I don’t mean to say that I know, of my own knowledge, 
3	0	83	23.4510	23.4510	0.0500	0.0500	0.3910	0.3910	23.0100	23.0100	8	8	2.1900	2.1900	0.0398	0.0398	Scrooge knew he was dead? Of course he did. How could it be 
4	0	104	29.5802	29.5631	0.1000	0.1000	0.3802	0.3831	29.1000	29.0800	12	11	2.8000	3.1200	0.0401	0.0401	The mention of Marley’s funeral brings me back to the point 
5	0	52	16.3083	16.2768	0.0500	0.0500	0.2283	0.2268	16.0300	16.0000	6	6	1.6700	1.6500	0.0406	0.0406	Scrooge never painted out Old Marley’s name. There it stood,
6	0	117	37.8249	37.8024	0.0500	0.0500	0.2449	0.2424	37.5300	37.5100	12	15	3.8000	4.5200	0.0405	0.0405	Oh! But he was a tight-fisted hand at the grindstone, Scroog
7	0	79	24.4274	24.4895	0.0500	0.0500	0.7074	0.7695	23.6700	23.6700	11	12	2.5000	2.7500	0.0411	0.0410	External heat and cold had little influence on Scrooge. No w
8	0	109	27.6986	27.7670	0.0800	0.0800	0.7786	0.3570	26.8400	27.3300	9	11	2.5600	3.0400	0.0401	0.0400	Nobody ever stopped him in the street to say, with gladsome 
9	0	39	11.1656	11.0998	0.0800	0.0800	0.7556	0.6598	10.3300	10.3600	5	6	1.1100	1.2600	0.0406	0.0407	But what did Scrooge care! It was the very thing he liked. T
10	0	153	42.9411	42.9232	0.0500	0.0500	0.3611	0.3732	42.5300	42.5000	20	21	4.7600	4.9300	0.0402	0.0402	Once upon a time—of all the good days in the year, on Christ
11	0	117	32.7466	32.7068	0.0700	0.0700	0.5266	0.6268	32.1500	32.0100	11	9	3.3200	2.5700	0.0413	0.0413	The door of Scrooge’s counting-house was open that he might 
12	0	35	10.4891	10.4352	0.0500	0.0500	0.7091	0.6552	9.7300	9.7300	2	4	0.3600	0.7900	0.0413	0.0415	“A merry Christmas, uncle! God save you!” cried a cheerful v
13	0	4	2.6201	2.6195	0.0700	0.0700	0.2801	0.2795	2.2700	2.2700	0	0	0	0	0.0552	0.0551	“Bah!” said Scrooge, “Humbug!”
14	0	38	10.9765	10.9757	0.0500	0.0500	0.5765	0.5757	10.3500	10.3500	4	4	0.8900	0.8900	0.0411	0.0411	He had so heated himself with rapid walking in the fog and f
15	0	14	4.9190	4.9191	0.0900	0.0900	0.3090	0.2791	4.5200	4.5500	0	0	0	0	0.0440	0.0440	“Christmas a humbug, uncle!” said Scrooge’s nephew. “You don
16	0	23	6.7925	6.7915	0.1100	0.1000	0.3025	0.3315	6.3800	6.3600	2	2	0.5100	0.4300	0.0435	0.0435	“I do,” said Scrooge. “Merry Christmas! What right have you 
17	0	23	6.7690	6.7686	0.0900	0.0900	0.2790	0.2786	6.4000	6.4000	1	1	0.2700	0.2800	0.0434	0.0434	“Come, then,” returned the nephew gaily. “What right have yo
18	0	21	6.4337	6.4337	0.0500	0.0500	0.3337	0.3037	6.0500	6.0800	1	1	0.1700	0.1700	0.0422	0.0422	Scrooge having no better answer ready on the spur of the mom
19	0	7	2.8673	2.8674	0.0700	0.0700	0.2473	0.2474	2.5500	2.5500	0	0	0	0	0.0515	0.0516	“Don’t be cross, uncle!” said the nephew.
20	0	112	31.9462	31.6752	0.0900	0.0900	0.6562	0.6252	31.2000	30.9600	11	11	3.3500	3.1600	0.0401	0.0403	“What else can I be,” returned the uncle, “when I live in su
21	0	4	2.3882	2.3897	0.0700	0.0600	0.2582	0.2697	2.0600	2.0600	0	0	0	0	0.0539	0.0538	“Uncle!” pleaded the nephew.
22	0	18	5.6162	5.6408	0.1200	0.1200	0.3062	0.3008	5.1900	5.2200	2	2	0.4000	0.3700	0.0443	0.0442	“Nephew!” returned the uncle sternly, “keep Christmas in you
23	0	10	3.9694	3.9690	0.0500	0.0600	0.2594	0.2590	3.6600	3.6500	0	0	0	0	0.0478	0.0478	“Keep it!” repeated Scrooge’s nephew. “But you don’t keep it
24	0	21	5.5936	5.5930	0.0500	0.0500	0.2536	0.2530	5.2900	5.2900	1	2	0.3900	0.3500	0.0455	0.0455	“Let me leave it alone, then,” said Scrooge. “Much good may 
25	0	161	43.0418	43.2781	0.0500	0.0500	0.6518	0.7781	42.3400	42.4500	15	14	3.7900	3.6800	0.0404	0.0402	“There are many things from which I might have derived good,
26	0	25	9.4665	9.4664	0.0500	0.0900	0.7965	0.7964	8.6200	8.5800	1	2	0.2600	0.5100	0.0427	0.0427	The clerk in the Tank involuntarily applauded. Becoming imme
27	0	37	10.7205	10.7212	0.0700	0.0700	0.5005	0.5012	10.1500	10.1500	5	5	0.8400	0.8400	0.0412	0.0413	“Let me hear another sound from you,” said Scrooge, “and you
28	0	9	3.6415	3.6415	0.0900	0.0900	0.2715	0.2715	3.2800	3.2800	0	1	0	0.1700	0.0505	0.0504	“Don’t be angry, uncle. Come! Dine with us to-morrow.”
